Country,Province,District,VDC/Municipality,Ward No.,Tole
Nepal,Koshi Province,TAPLEJUNG,Phaktanlung Rural Municipality,,
Nepal,Koshi Province,TAPLEJUNG,Mikwakhola Rural Municipality,,
Nepal,Koshi Province,TAPLEJUNG,Meringden Rural Municipality,,
Nepal,Koshi Province,TAPLEJUNG,Maiwakhola Rural Municipality,,
Nepal,Koshi Province,TAPLEJUNG,Aatharai Tribeni Rural Municipality,,
Nepal,Koshi Province,TAPLEJUNG,Phungling Urban Municipality,,
Nepal,Koshi Province,TAPLEJUNG,Pathivara Yangwarak Rural Municipality,,
Nepal,Koshi Province,TAPLEJUNG,Sirijanga Rural Municipality,,
Nepal,Koshi Province,TAPLEJUNG,Sidingba Rural Municipality,,
Nepal,Koshi Province,SANKHUWASABHA,Bhotkhola Rural Municipality,,
Nepal,Koshi Province,SANKHUWASABHA,Makalu Rural Municipality,,
Nepal,Koshi Province,SANKHUWASABHA,Silichong Rural Municipality,,
Nepal,Koshi Province,SANKHUWASABHA,Chichila Rural Municipality,,
Nepal,Koshi Province,SANKHUWASABHA,Sabhapokhari Rural Municipality,,
Nepal,Koshi Province,SANKHUWASABHA,Khandabari Urban Municipality,,
Nepal,Koshi Province,SANKHUWASABHA,Panchakhapan Urban Municipality,,
Nepal,Koshi Province,SANKHUWASABHA,Chainapur Urban Municipality,,
Nepal,Koshi Province,SANKHUWASABHA,Madi Urban Municipality,,
Nepal,Koshi Province,SANKHUWASABHA,Dharmadevi Urban Municipality,,
Nepal,Koshi Province,SOLUKHUMBU,Khumbu Pasanglhamu Rural Municipality,,
Nepal,Koshi Province,SOLUKHUMBU,Mahakulung Rural Municipality,,
Nepal,Koshi Province,SOLUKHUMBU,Sotang Rural Municipality,,
Nepal,Koshi Province,SOLUKHUMBU,Mapya Dudhkoshi Rural Municipality,,
Nepal,Koshi Province,SOLUKHUMBU,Thulung Dudhkoshi Rural Municipality,,
Nepal,Koshi Province,SOLUKHUMBU,Necha Salyan Rural Municipality,,
Nepal,Koshi Province,SOLUKHUMBU,Solu Dhudhakunda Urban Municipality,,
Nepal,Koshi Province,SOLUKHUMBU,Likhu Pike Rural Municipality,,
Nepal,Koshi Province,OKHALDHUNGA,Chishankhu Gadhi Rural Municipality,,
Nepal,Koshi Province,OKHALDHUNGA,Siddhicharan Urban Municipality,,
Nepal,Koshi Province,OKHALDHUNGA,Molung Rural Municipality,,
Nepal,Koshi Province,OKHALDHUNGA,Khiji Demba Rural Municipality,,
Nepal,Koshi Province,OKHALDHUNGA,Likhu Rural Municipality,,
Nepal,Koshi Province,OKHALDHUNGA,Champadevi Rural Municipality,,
Nepal,Koshi Province,OKHALDHUNGA,Sunkoshi Rural Municipality,,
Nepal,Koshi Province,OKHALDHUNGA,Manebhanjyang Rural Municipality,,
Nepal,Koshi Province,KHOTANG,Kepilasgadhi Rural Municipality,,
Nepal,Koshi Province,KHOTANG,Aiselukharka Rural Municipality,,
Nepal,Koshi Province,KHOTANG,Rawa Besi Rural Municipality,,
Nepal,Koshi Province,KHOTANG,Halesi Tuwachung Urban Municipality,,
Nepal,Koshi Province,KHOTANG,Diktel Rupakot Majhuwagadhi Urban Municipality,,
Nepal,Koshi Province,KHOTANG,Sakela Rural Municipality,,
Nepal,Koshi Province,KHOTANG,Diprung Chuichumma Rural Municipality,,
Nepal,Koshi Province,KHOTANG,Khotehang Rural Municipality,,
Nepal,Koshi Province,KHOTANG,Jante Dhunga Rural Municipality,,
Nepal,Koshi Province,KHOTANG,Baraha Pokhari Rural Municipality,,
Nepal,Koshi Province,BHOJPUR,Shadananda Urban Municipality,,
Nepal,Koshi Province,BHOJPUR,Salpa Silichho Rural Municipality,,
Nepal,Koshi Province,BHOJPUR,Temkemaiyum Rural Municipality,,
Nepal,Koshi Province,BHOJPUR,Bhojpur Urban Municipality,,
Nepal,Koshi Province,BHOJPUR,Arun Rural Municipality,,
Nepal,Koshi Province,BHOJPUR,Pauwa Dunma Rural Municipality,,
Nepal,Koshi Province,BHOJPUR,Ramprasad Rai Rural Municipality,,
Nepal,Koshi Province,BHOJPUR,Hatuwagadhi Rural Municipality,,
Nepal,Koshi Province,BHOJPUR,Aamchowk Rural Municipality,,
Nepal,Koshi Province,DHANKUTA,Mahalaxmi Urban Municipality,,
Nepal,Koshi Province,DHANKUTA,Pakhribas Urban Municipality,,
Nepal,Koshi Province,DHANKUTA,Chhathar Jorpati Rural Municipality,,
Nepal,Koshi Province,DHANKUTA,Dhankuta Urban Municipality,,
Nepal,Koshi Province,DHANKUTA,Shahidbhumi Rural Municipality,,
Nepal,Koshi Province,DHANKUTA,Sangurigadhi Rural Municipality,,
Nepal,Koshi Province,DHANKUTA,Chaubise Rural Municipality,,
Nepal,Koshi Province,TERHATHUM,Aatharai Rural Municipality,,
Nepal,Koshi Province,TERHATHUM,Phedap Rural Municipality,,
Nepal,Koshi Province,TERHATHUM,Menchhayayem Rural Municipality,,
Nepal,Koshi Province,TERHATHUM,Myanglung Urban Municipality,,
Nepal,Koshi Province,TERHATHUM,Laligurans Urban Municipality,,
