Uuid,Void/Retire,Short name:en,Fully specified name:en,Fully specified name:fr,Data class,Data Type,Members,_version:1,_order:500
adecd7a5-f4f9-3419-85b8-18175ec7b8ca,,,3 Way Cannula,,Medical supply,N/A,,,
50d10d34-827f-3bb5-b801-f5eb7a846d62,,,Abdominal Drainage Bag 2000Ml-(Abdominal Drainage Bag 2000 Ml)(Abdominal Drainage Bag 2000),,Medical supply,N/A,,,
a549e09c-9700-3143-bc30-5e3e145db3d1,,,Absorbable Surgical Item Suture -2-0 (Catgut 1-0),,Medical supply,N/A,,,
cfa36848-77bd-3fbc-b138-ff4268c92260,,,Absorbable Surgical Suture -2-0 (Catgut 1-0),,Medical supply,N/A,,,
b7289860-1f05-3376-b331-ffc363bb3362,,,Absorbable Surgical Suture -2-0(Catgut 3-0),,Medical supply,N/A,,,
da402f2d-c2cc-366a-a584-5ce8fc776a19,,,Absorbable Surgical Suture -2-0(Catgut 4-0),,Medical supply,N/A,,,
9fe738b4-1145-3dfe-8db4-c6d82a1b28ac,,,Absorbable Surgical Suture -2-0(Trugut 2),,Medical supply,N/A,,,
8932d967-146f-3d9e-897a-53e2cd50f3cd,,,Absorbable Surgical Suture -2-0(Vicryl 3-0),,Medical supply,N/A,,,
14b6ee91-f80b-300c-bb1a-7345454c0334,,,Adhesive Tape -10Cm X 4/6 M,,Medical supply,N/A,,,
392abd28-ded3-3647-9910-93b576198e3b,,,Adhesive Tape -10Cm X 5M(Adhesive Tape)(Elastic Adhesive Banfdage),,Medical supply,N/A,,,
6bb8fad0-f382-3135-a327-9cf72f9ca192,,,Adult Dyper(Adult Dyper),,Medical supply,N/A,,,
a8a023dc-a6f4-336e-aecb-2ea96f07136d,,,Ankle Binder -Large(Anklet)(Anklet-L),,Medical supply,N/A,,,
00fc0bd4-e7f8-331d-836c-93be96c1c42f,,,"Arm Sling Pouch All Size(L,M,S)",,Medical supply,N/A,,,
50dd2607-c1a8-392f-a521-330961edecd1,,,Autoclave Indicator Tape -(Surgical)(Indicator Tape),,Medical supply,N/A,,,
54258965-b406-3d46-a1f9-89825864f6c5,,,Baby Diapper (All Size),,Medical supply,N/A,,,
eb61c98a-f69d-347a-abe4-2430336b3d29,,,Baby Wipes Sensitive,,Medical supply,N/A,,,
10cfca16-6ab0-3d65-9fa9-3998f7fdea82,,,Balloon Catheter -16Fr(Folley Balloon Catheter),,Medical supply,N/A,,,
441399b1-40aa-3135-85ee-26a983cdd421,,,Braided Silk -1-0(Silk),,Medical supply,N/A,,,
d7fb2fed-f07b-384c-a23d-dcb139064d93,,,Braided Silk -4-0(Cut-Ab),,Medical supply,N/A,,,
73b89bd2-b3db-330f-bd30-a6e4f027de31,,,Cannula 16 No,,Medical supply,N/A,,,
3540a466-3d43-395a-820b-f03f8d2e123f,,,Cannula Fix,,Medical supply,N/A,,,
c889ce56-3dbd-3c73-bb03-162630396750,,,Cannula No 22,,Medical supply,N/A,,,
a77832c2-998b-3346-8f93-2cee76016b4d,,,Catgut 2,,Medical supply,N/A,,,
f52d0515-26ef-371b-9453-6f019d80e561,,,Central Venous Catheter Kit,,Medical supply,N/A,,,
0badd993-06e2-3916-8ce6-6273185cc0df,,,Cervical Collar All Sizes,,Medical supply,N/A,,,
803a85b8-d656-3859-a8f5-5a5c6d29f540,,,Chest Drain Catheter -18(Chest Tube Drain- 18),,Medical supply,N/A,,,
c29ca1ab-b3c6-315e-968c-40d8aca64796,,,Chest Drain Catheter -24(Chest Tube Drain- 24),,Medical supply,N/A,,,
77dc6565-4295-39b1-ad43-c8319a89e968,,,Chest Tube  Rs. 250,,Medical supply,N/A,,,
4b5564e6-9e09-3fed-886b-d5e87a96c4c5,,,Chest Tube 20,,Medical supply,N/A,,,
37fa82ee-b603-3a31-b007-110e1adbebd6,,,Chest Tube 28,,Medical supply,N/A,,,
f19d7a95-d95d-3aa5-ba83-3927653547b9,,,Chet Tube 28,,Medical supply,N/A,,,
00b52808-abff-3516-9a64-0da960aebfc5,,,Chromic Catgut -1-0(Catgut),,Medical supply,N/A,,,
941e8843-afb7-31be-b9a3-da5f7d26dea7,,,Chromic Catgut -5-0(Catgut),,Medical supply,N/A,,,
052a84c9-00d6-3b27-9e2e-a3b90ff73f9c,,,Coated Polyglactin 910 -1 (90 Cm )(Vicryl 1),,Medical supply,N/A,,,
beb5ab55-ae49-31eb-81b5-700d391b9b16,,,Coated Polyglactin 910 -2-0 (90 Cm )(Aw-Round Bodied)(Vicryl 2-0),,Medical supply,N/A,,,
eb8d01fe-5365-3fde-a8be-566d60b8e315,,,Crepe Bandage -4()(Ortho-Grip),,Medical supply,N/A,,,
ae32fbd7-ca3c-3907-a727-1e254afabde3,,,Crepe Bandage -6()(Ortho-Grip),,Medical supply,N/A,,,
019981f4-f5e8-3c45-bf89-8864b78cfda5,,,Ecg Leads -(Chest Leads)(Ecg Lead),,Medical supply,N/A,,,
6b7caf84-a6a2-3ab5-85b5-0ece61eb1631,,,Ecg Paper -63Mm*30M()(Ecg Paper),,Medical supply,N/A,,,
274b9225-f6c5-380d-aacd-ba4211ff84e7,,,Elbow Support -Large (Tennis Elbow Support- L),,Medical supply,N/A,,,
5df1f4ca-2da5-30c8-8607-9d681bd20e16,,,Et Tbue(Et Tube),,Medical supply,N/A,,,
a23e40d9-af86-3d56-a887-463b68f778e7,,,Et Tube -(All Size (Adult))(Endotracheal Tube),,Medical supply,N/A,,,
41935809-575e-395a-92c7-a28bcbafec7f,,,Et Tube Child (All Size) -()(Endotracheal Tube),,Medical supply,N/A,,,
f68ce830-9257-35fc-9132-0968242f4267,,,Finger Splint,,Medical supply,N/A,,,
6c010afe-786b-3f99-8d55-5b52b35386d0,,,Flamiplast -(Deuroplast),,Medical supply,N/A,,,
d1fc49fd-f872-3ab0-9640-26871ce5d7f0,,,Foley Catheter -12 Fr(Balloon Two Way),,Medical supply,N/A,,,
4cf0ef0c-d319-37e9-a0b3-4aebf4d05d92,,,Foley Catheter -14 Fr(Balloon-Silicon Coated),,Medical supply,N/A,,,
94f63d90-5f8b-3bea-9e78-ae5459776289,,,Foley Catheter -16 Fr(Balloon),,Medical supply,N/A,,,
180f395e-159c-362f-8c6b-1e5ccb3d422a,,,Foley Catheter -18 Fg(Balloon),,Medical supply,N/A,,,
d235c73a-215f-3c00-b544-44d2c2f1317f,,,Foley Catheter -8 Fr(Balloon Two Way),,Medical supply,N/A,,,
6770fd12-99de-3ba4-b402-1de9fc19334c,,,Frog Sprint -Large,,Medical supply,N/A,,,
85ec3d6e-614f-3529-b22b-0eeba3a2b10c,,,Glucose Strip -(Test Strips),,Medical supply,N/A,,,
ead7b86f-4600-3fc5-8c62-d55398dedf6c,,,Hernia Kit,,Medical supply,N/A,,,
71b2d291-5d0f-3db9-95e7-e60dba387ffe,,,Hup Puf Kit,,Medical supply,N/A,,,
24cd2b4c-e877-3858-9dba-f75e6cbf249b,,,I.V Infusion Set -20D/Ml(Infusion Set),,Medical supply,N/A,,,
e0c49c2f-007c-35fd-841c-77d4839340f5,,,Iv Cannula -18 G,,Medical supply,N/A,,,
10e415c2-347e-32a0-bef2-ddb2f6597d88,,,Iv Cannula -20 G,,Medical supply,N/A,,,
712cbb55-6e80-3540-af35-a965fc9af61c,,,Iv Cannula -26 G,,Medical supply,N/A,,,
f6743140-bc9f-319a-bca7-cf8a3fe684db,,,Knee Cap -Small()(Knee Cap-S),,Medical supply,N/A,,,
5b59dcbe-df23-3893-8141-8d608f21c80b,,,Lumber Belt   -Medium(Lumber Belt -M),,Medical supply,N/A,,,
fae0a94c-b5cf-3dd6-a920-4fb4f1f5f4c1,,,Lumber Belt All Sizes,,Medical supply,N/A,,,
2873f52d-3645-3969-b64e-141deb810af7,,,Mersilk 0,,Medical supply,N/A,,,
632f6440-544f-33a1-9fd9-b9cfd827f93b,,,Microdrip Set -(Disposable)(Microdrip Set-Disposable),,Medical supply,N/A,,,
4d1e9456-5a91-3408-8196-0f9cc0089c07,,,Monofilament Polypropylene Blue -0(Prolene 0),,Medical supply,N/A,,,
