Uuid,Void/Retire,Short name:en,Fully specified name:en,Fully specified name:fr,Data class,Data Type,Members,_version:1,_order:500
a17365e9-66b2-4f95-9231-a915625f,,,3 Way Cannula,,Medical supply,N/A,,,
ab85e103-ba6c-41d7-9352-e5b41246,,,Abdominal Drainage Bag 2000Ml-(Abdominal Drainage Bag 2000 Ml)(Abdominal Drainage Bag 2000),,Medical supply,N/A,,,
088b0aeb-e792-4c5b-af07-36977a5c,,,Absorbable Surgical Item Suture -2-0 (Catgut 1-0),,Medical supply,N/A,,,
e9e22a17-f136-45e2-a580-5d4cd250,,,Absorbable Surgical Suture -2-0 (Catgut 1-0),,Medical supply,N/A,,,
e20d95e2-7093-4f50-972b-d4a49a9a,,,Absorbable Surgical Suture -2-0(Catgut 3-0),,Medical supply,N/A,,,
a365a66a-0170-4f74-8484-bb7939f0,,,Absorbable Surgical Suture -2-0(Catgut 4-0),,Medical supply,N/A,,,
7b667448-27f1-4b97-aaac-513b9df4,,,Absorbable Surgical Suture -2-0(Trugut 2),,Medical supply,N/A,,,
c9ed5c30-bc35-49d5-b1ab-17e00537,,,Absorbable Surgical Suture -2-0(Vicryl 3-0),,Medical supply,N/A,,,
34790fef-5f06-4dfc-b782-be4fe7a9,,,Adhesive Tape -10Cm X 4/6 M,,Medical supply,N/A,,,
34a5d767-be31-402a-af06-994ea59b,,,Adhesive Tape -10Cm X 5M(Adhesive Tape)(Elastic Adhesive Banfdage),,Medical supply,N/A,,,
3fcee487-047b-4c9e-a498-15568542,,,Adult Dyper(Adult Dyper),,Medical supply,N/A,,,
ef78c9a2-bb3c-4431-bd35-f50a4df5,,,Ankle Binder -Large(Anklet)(Anklet-L),,Medical supply,N/A,,,
e2360a5a-9987-42dc-b035-714680c8,,,"Arm Sling Pouch All Size(L,M,S)",,Medical supply,N/A,,,
e77fe59b-7c67-4b7d-aec3-a4b8ae86,,,Autoclave Indicator Tape -(Surgical)(Indicator Tape),,Medical supply,N/A,,,
bab6a177-f8a8-4e64-8e14-3ec7b349,,,Baby Diapper (All Size),,Medical supply,N/A,,,
28904a61-4d57-4b41-a59e-f380c0e2,,,Baby Wipes Sensitive,,Medical supply,N/A,,,
a0259fee-d1cd-4d71-b9ce-0dde8f80,,,Balloon Catheter -16Fr(Folley Balloon Catheter),,Medical supply,N/A,,,
9368aa13-7fd6-4785-beac-d6333dc5,,,Braided Silk -1-0(Silk),,Medical supply,N/A,,,
70d12096-f6df-41ac-8d56-0454e237,,,Braided Silk -4-0(Cut-Ab),,Medical supply,N/A,,,
f12a8067-a145-47ff-8547-210cc8ef,,,Cannula 16 No,,Medical supply,N/A,,,
56ed0f68-9960-4a43-9285-98cb06c3,,,Cannula Fix,,Medical supply,N/A,,,
dae570c0-6560-4ce3-bcc7-22359a66,,,Cannula No 22,,Medical supply,N/A,,,
3a5733a5-b3f1-4a22-8b38-ed4b53ef,,,Cast Pad -4(Ortho Cast Padding),,Medical supply,N/A,,,
b1232e74-df67-45f7-a803-bb7aeeae,,,"Cast Pad -6""(Cast Pad 6)",,Medical supply,N/A,,,
17c13bd4-c8a7-4d1e-99b5-6ee39dd6,,,Cast Padding -6(Ortho Cast),,Medical supply,N/A,,,
b9c4662d-201e-4042-bf4f-90ab9da4,,,Catgut 2,,Medical supply,N/A,,,
f0b75a9a-9970-4973-828a-6f6c1de2,,,Central Venous Catheter Kit,,Medical supply,N/A,,,
f8684cec-7c66-48ff-8e9d-b611fe45,,,Cervical Collar All Sizes,,Medical supply,N/A,,,
2a0eb2c9-38cd-49e3-80fd-c5cf951c,,,Chest Drain Catheter -18(Chest Tube Drain- 18),,Medical supply,N/A,,,
06889246-5ada-447e-9613-cf626b8a,,,Chest Drain Catheter -24(Chest Tube Drain- 24),,Medical supply,N/A,,,
9fddb523-bff5-4c82-a56a-10b81755,,,Chest Tube  Rs. 250,,Medical supply,N/A,,,
efd0b226-7d57-4a8b-84d1-e6c4af75,,,Chest Tube 20,,Medical supply,N/A,,,
af76c119-7ad1-4a5b-9024-43c5485b,,,Chest Tube 28,,Medical supply,N/A,,,
8c61b0de-8a1e-469b-ae37-3ecdd3c7,,,Chet Tube 28,,Medical supply,N/A,,,
f239fdcf-5d82-4aff-90be-893bb418,,,Chromic Catgut -1-0(Catgut),,Medical supply,N/A,,,
52fd3510-d6f7-4c15-8ba4-07806572,,,Chromic Catgut -5-0(Catgut),,Medical supply,N/A,,,
810a4def-8110-4b25-a431-7404643f,,,Coated Polyglactin 910 -1 (90 Cm )(Vicryl 1),,Medical supply,N/A,,,
e772b6ad-eeb4-49c8-b9a0-ac5303bc,,,Coated Polyglactin 910 -2-0 (90 Cm )(Aw-Round Bodied)(Vicryl 2-0),,Medical supply,N/A,,,
a0f9823f-a04d-4ec5-b187-3ea4754f,,,Crepe Bandage -4()(Ortho-Grip),,Medical supply,N/A,,,
3100f755-067b-47eb-9ebe-672d0abe,,,Crepe Bandage -6()(Ortho-Grip),,Medical supply,N/A,,,
3f749f8b-c79f-4703-a9f2-5ec6ba99,,,Ecg Leads -(Chest Leads)(Ecg Lead),,Medical supply,N/A,,,
502f23fe-bdba-49cc-bd54-28733a1c,,,Ecg Paper -63Mm*30M()(Ecg Paper),,Medical supply,N/A,,,
7b1b4b3d-cd7d-4d11-88aa-c451216e,,,Elbow Support -Large (Tennis Elbow Support- L),,Medical supply,N/A,,,
06c0a289-546c-425f-a06d-f30577a8,,,Et Tbue(Et Tube),,Medical supply,N/A,,,
fc2f8a44-f7a0-4797-a17b-d17f430b,,,Et Tube -(All Size (Adult))(Endotracheal Tube),,Medical supply,N/A,,,
eed4799e-2a3d-40cf-9f60-58256607,,,Et Tube Child (All Size) -()(Endotracheal Tube),,Medical supply,N/A,,,
2a074ef9-93e6-4271-84a8-0fb07775,,,Finger Splint,,Medical supply,N/A,,,
e9cee61f-ae07-4043-8bee-6ae3f8b9,,,Flamiplast -(Deuroplast),,Medical supply,N/A,,,
fec55bc9-4200-4539-95e9-9be86eac,,,Foley Catheter -12 Fr(Balloon Two Way),,Medical supply,N/A,,,
b9753ffa-1461-4e9f-a63a-91d8dbe9,,,Foley Catheter -14 Fr(Balloon-Silicon Coated),,Medical supply,N/A,,,
07d3e7a1-0f05-4440-bb1c-9578742b,,,Foley Catheter -16 Fr(Balloon),,Medical supply,N/A,,,
ac10564f-ed72-40a4-9067-b9fbc2e0,,,Foley Catheter -18 Fg(Balloon),,Medical supply,N/A,,,
4119ebe3-8d14-46e9-bcad-544b7513,,,Foley Catheter -8 Fr(Balloon Two Way),,Medical supply,N/A,,,
33167ecc-6858-4a30-9f59-def416d2,,,Frog Sprint -Large,,Medical supply,N/A,,,
5ae59824-dce5-4997-87bc-9995e0db,,,Glucose Strip -(Test Strips),,Medical supply,N/A,,,
036e58c3-3be3-4abb-b53a-17fc9922,,,Hernia Kit,,Medical supply,N/A,,,
d48192e6-35cb-43d5-8b46-a6c83269,,,Hup Puf Kit,,Medical supply,N/A,,,
2a8edbf1-e6a3-4742-a9ef-e084a0fc,,,I.V Infusion Set -20D/Ml(Infusion Set),,Medical supply,N/A,,,
ea0f8194-6ce9-4e93-8c55-a95733f9,,,Iv Cannula -18 G,,Medical supply,N/A,,,
268451d4-64c0-44a5-9c11-bafd811f,,,Iv Cannula -20 G,,Medical supply,N/A,,,
69e0416e-db36-4df1-996e-9a3b7e90,,,Iv Cannula -26 G,,Medical supply,N/A,,,
d7147259-2d8d-4813-9b62-9e6da3cb,,,Knee Cap -Small()(Knee Cap-S),,Medical supply,N/A,,,
c518b439-09d4-43b8-8be8-b22ba8e3,,,Lumber Belt   -Medium(Lumber Belt -M),,Medical supply,N/A,,,
ac2e7ab4-95ed-4a12-973a-b52a395d,,,Lumber Belt All Sizes,,Medical supply,N/A,,,
7594266c-df81-41ac-9dd4-fc4dd26e,,,Mersilk 0,,Medical supply,N/A,,,
a707b265-ef90-48ec-9af9-70d481ae,,,Microdrip Set -(Disposable)(Microdrip Set-Disposable),,Medical supply,N/A,,,
e7095d98-9617-494b-afb8-03abf1f4,,,Monofilament Polypropylene Blue -0(Prolene 0),,Medical supply,N/A,,,
4c312977-bd51-4782-9a71-150a4f6a,,,Monofilament Polypropylene Blue -2-0(Nw-807)(Prolene 2-0),,Medical supply,N/A,,,
a09b9108-e862-410a-8426-c8099b0a,,,Monofilament Propylene Blue 4-0 (Cutting Body) -4.0(Non Absorbable-Spp870)(Prolene 4.0 C.V),,Medical supply,N/A,,,
bfd56f82-592a-4e14-8827-d3bd301b,,,Nebulizer With Mask -Adult()(Nebulizer With Mask-(Adult/Child),,Medical supply,N/A,,,
1a8d7921-26ad-4804-8b70-c202abfb,,,N-G Tube -8 Fr()(Ng Tube 6),,Medical supply,N/A,,,
1e376b4e-f5fb-4d04-b503-f0dd4523,,,Non Absorbable Surgical Suture -1,,Medical supply,N/A,,,
3b241085-3dfd-47b9-9910-a977ee3d,,,Non Absorbable Surgical Suture -1(Proline 1),,Medical supply,N/A,,,
24c645ec-f65a-49b0-8579-ee11b5d2,,,Non Absorbable Surgical Suture -1(Silk 1),,Medical supply,N/A,,,
d0f5377f-44ae-41ae-b5fd-f6cec325,,,Non Absorbable Surgical Suture -1(Vicryl 4-0),,Medical supply,N/A,,,
85d76c1b-ed19-4773-bb48-40bd100b,,,Oxygen Mask Adult,,Medical supply,N/A,,,
81665d9f-1bd8-4cc4-a701-7ab4dacf,,,Pelvic Binder -Large(Pelvic Binder- L),,Medical supply,N/A,,,
31376f14-a0d2-4f5f-9cad-1868a995,,,Plaster Bandage -10Cm X 2.7 M(Bandage),,Medical supply,N/A,,,
