Uuid,Void/Retire,Name,Concept Drug,Concept Dosage Form,Strength,_version:1
d29fb81e-cffb-5bfc-b69c-64d4ea7cb6a4,,Acyclovir 5%- 1 g(ACYCLOVIR OINTMENT (FREE)),Acyclovir,Tube,5%-1g,_version:1
68ee7f93-b5c5-570a-9cc1-6fe6c3ef1650,,Albendazole- 400 mg (FREE),Albendazole,Tablet,400mg,_version:1
e0e992f6-7a9d-50fa-aef0-4b446bedcac5,,Alumninium magneshim simithicon oxethazaine (Free),Aluminium Hydroxide + Magnesium,ml,,_version:1
b1f7602e-a300-5e30-a935-4bda08ff3e56,,Amitriptyline HCl- 10 mg (FREE),Amitriptyline,Tablet,10mg,_version:1
f2331bf4-2990-539a-a2dd-06457bf35a14,,Amitriptyline HCl- 25 mg (FREE),Amitriptyline,Tablet,25mg,_version:1
3ab8f30a-9e47-5363-b560-e5d715bb55e3,,Amitriptyline HCl- 75 mg(FREE),Amitriptyline,Tablet,75mg,_version:1
2dbffa6c-ec10-57cd-9c1f-797b6a341c8f,,Amlodipine besylate- 5 mg(FREE),Amlodipine,Tablet,5mg,_version:1
8c341f18-46de-5171-b4f5-4ce9ec5a6b3e,,Amoxicillin -250mg(FREE),Amoxycillin,Tablet,250mg,_version:1
ef80b633-a0ba-5220-b580-5ad0027e96eb,,Amoxycillin trihydrate -125mg (FREE),Amoxycillin,Tablet,125mg,_version:1
c9af63f6-6e55-5ff6-9acf-4ad577f2d420,,Amoxycillin trihydrate- 250 mg (FREE),Amoxycillin,Tablet,250mg,_version:1
b285a969-4639-5877-bc8d-6cec2ef9aead,,Amoxycillin trihydrate- 500 mg (FREE),Amoxycillin,Tablet,500mg,_version:1
978ddafe-0a1c-57c1-ad61-15c642975555,,Aspirin -75mg(FREE),Aspirin,Tablet,75mg,_version:1
eecec77c-3468-596c-8acf-b8f21a0b1b6f,,Atenolol- 50 mg (FREE),Atenolol,Tablet,50mg,_version:1
f8be5e86-21ff-58f1-885d-100d85d6b9ae,,Atorvastatin Ca- 10 mg(FREE),Atorvastatin,Syrup,10mg,_version:1
4a7d5d9a-0513-547c-88fc-21832161b410,,Azithromycin 100mg -100mg(Free),Azithromycin,Syrup,100mg,_version:1
7dc055ea-abc2-5038-bc54-e75fdfdf4186,,Azithromycin dihydrate- 250 mg(FREE),Azithromycin,Tablet,250mg,_version:1
